iter	TotalF1	MultiClass
144	0.6807934127	0.8003672705
145	0.6804386933	0.7995590267
146	0.6803024479	0.7987106986
147	0.6806955871	0.7978898529
148	0.6805631967	0.797213858
149	0.6812164092	0.7963439973
150	0.6811341394	0.7955084732
151	0.6816932638	0.7947431496
152	0.6807278054	0.7938483201
153	0.6809234587	0.793139231
154	0.6812679415	0.7924498711
155	0.6815609458	0.7916372389
156	0.6818618885	0.7910433235
157	0.6811110624	0.7903885672
158	0.6816754613	0.7896472555
159	0.6813398934	0.7890055809
160	0.68133598	0.7882306865
161	0.6819546278	0.7873982891
162	0.6820725639	0.7866946131
163	0.6824672614	0.7860145585
164	0.6822540968	0.7854166487
165	0.6831293439	0.7847790329
166	0.6832074807	0.7840786434
167	0.6828032157	0.7835058967
168	0.6829935875	0.7828101806
169	0.6834553857	0.7821207562
170	0.6838644566	0.7814594507
171	0.684004628	0.7807908619
172	0.6840791153	0.7800759562
173	0.6845950777	0.7795173146
174	0.6842858275	0.7788979982
175	0.6845903944	0.778145139
176	0.6849968877	0.7775301877
177	0.686024576	0.7769198451
178	0.6861210347	0.7763400609
179	0.6863693968	0.7756753289
180	0.6865866872	0.7751704135
181	0.6862495705	0.7746034566
182	0.6863214574	0.7739609489
183	0.6859745209	0.7733509901
184	0.685978423	0.7728134877
185	0.6858922366	0.77230262
186	0.6857991711	0.7718331286
187	0.6858896249	0.7711959604
188	0.6857994978	0.7707439888
189	0.6854408229	0.7703043898
190	0.6858558668	0.7697887435
191	0.6862728806	0.7691401735
192	0.6864234417	0.7686943644
193	0.6866418155	0.7682249877
194	0.6865477613	0.7677567584
195	0.6867394893	0.7672772943
196	0.6867894048	0.7667265557
197	0.687075868	0.7662342615
198	0.6873501462	0.7658425625
199	0.6869398415	0.7653579065
200	0.687277981	0.7648085084
201	0.6872343412	0.7643676438
202	0.6875467151	0.7639532401
203	0.687726907	0.763413244
204	0.6879497365	0.7629679587
205	0.6876705035	0.7625544232
206	0.6879393983	0.761987232
207	0.6878893817	0.7614944106
208	0.6877685516	0.7610332848
209	0.6884172358	0.7605179103
210	0.6882925034	0.7602157597
211	0.6880234565	0.7596276726
212	0.6883818438	0.7591687839
213	0.688159629	0.7587445596
214	0.6887761445	0.7583127288
215	0.6886183705	0.7578860619
216	0.6886143798	0.7573158061
217	0.6883389204	0.7569275573
218	0.6888405472	0.7563930701
219	0.6883850472	0.7558759215
220	0.6886399641	0.7554319335
221	0.6886286934	0.755068765
222	0.6886143798	0.7546288875
223	0.6883277252	0.7542218505
224	0.6887832207	0.7538316516
225	0.6889234043	0.7534256083
226	0.688688077	0.7529991671
227	0.6889958982	0.7524996583
228	0.6884802021	0.7520920677
229	0.6891562532	0.7516823711
230	0.689045776	0.7512252192
231	0.6897399676	0.7508460162
232	0.6895276915	0.750485541
233	0.6899364143	0.7501467395
234	0.689926387	0.7498374509
235	0.6899324383	0.7494477983
236	0.6898076395	0.7490066274
237	0.6897175829	0.7486665402
238	0.690026496	0.7482221669
239	0.6904790457	0.7477614834
240	0.690026496	0.7473620188
241	0.6900325526	0.7469904803
242	0.6904390402	0.74661547
243	0.6904082757	0.7460957866
244	0.6905204688	0.7455923087
245	0.6913116722	0.7452310071
246	0.6907553708	0.7447447051
247	0.6907553708	0.7443978538
248	0.6906192166	0.7440377689
249	0.691435809	0.7436613851
250	0.6910100846	0.7433364309
251	0.691712405	0.7429065545
252	0.6919671274	0.7425433803
253	0.6918309421	0.7422017853
